Samples	Result	ImpGenos	Experimental
NA18498	NI	0/1	0/1
NA18500	NN	0/0	0/0
NA18501	NN	0/0	0/0
NA18502	NI	0/1	0/0
NA18503	NN	0/0	0/0
NA18504	NN	0/0	0/0
NA18505	NN	0/0	0/0
NA18506	NN	0/0	0/0
NA18507	NN	0/0	0/0
NA18508	NN	0/0	0/0
NA18515	NN	0/0	0/0
NA18516	NI	0/1	0/0
NA18517	NI	0/1	0/1
NA18519	NN	0/0	0/0
NA18521	NN	0/0	0/0
NA18522	NN	0/0	0/0
NA18523	NN	0/0	0/0
NA18852	NI	0/1	0/0
NA18853	NI	0/1	0/1
NA18854	NI	0/1	0/0
NA18855	NN	0/0	0/1
NA18856	NN	0/0	0/0
NA18857	II	1/1	0/1
NA18858	II	1/1	1/1
NA18859	NN	0/0	0/1
NA18860	NI	0/1	0/1
NA18861	NN	0/0	0/0
NA18862	II	1/1	0/1
NA18863	NN	0/0	0/0
NA18867	NI	0/1	0/1
NA18870	II	1/1	0/1
NA18871	NN	0/0	0/0
NA18872	NN	0/0	0/0
NA18910	II	1/1	0/1
NA18912	NN	0/0	0/0
NA18913	NI	0/1	0/1
NA18914	NN	0/0	0/0
NA19027	NN	0/0	0/0
NA19028	NI	0/1	0/1
NA19031	NN	0/0	0/1
NA19035	NN	0/0	0/0
NA19036	NI	0/1	0/1
NA19038	NN	0/0	0/0
NA19041	NN	0/0	0/0
NA19092	NI	0/1	0/1
NA19093	NI	0/1	0/1
NA19094	II	1/1	1/1
NA19098	NI	0/1	0/1
NA19099	II	1/1	0/0
NA19100	II	1/1	0/1
NA19101	NN	0/0	0/1
NA19102	NN	0/0	0/0
NA19103	NN	0/0	0/1
NA19108	NN	0/0	0/0
NA19116	II	1/1	0/1
NA19118	NN	0/0	0/0
NA19119	NN	0/0	0/0
NA19120	NN	0/0	0/0
NA19127	NN	0/0	0/1
NA19128	NI	0/1	0/1
NA19129	II	1/1	1/1
NA19130	NI	0/1	0/1
NA19131	NI	0/1	0/1
NA19132	II	1/1	1/1
NA19137	II	1/1	1/1
NA19138	II	1/1	0/0
NA19139	II	1/1	0/1
NA19140	NN	0/0	0/0
NA19141	NN	0/0	0/0
NA19142	NN	0/0	0/0
NA19143	NN	0/0	0/1
NA19144	NN	0/0	0/0
NA19145	NN	0/0	0/1
NA19146	NN	0/0	0/1
NA19150	II	1/1	1/1
NA19152	NN	0/0	0/0
NA19153	NN	0/0	0/0
NA19154	NN	0/0	0/0
NA19159	NN	0/0	0/1
NA19160	NN	0/0	0/0
NA19161	NN	0/0	0/0
NA19171	NN	0/0	0/0
NA19172	NN	0/0	0/0
NA19173	NN	0/0	0/0
NA19189	NI	0/1	0/1
NA19200	II	1/1	0/0
NA19201	NN	0/0	0/1
NA19202	II	1/1	0/1
NA19203	NN	0/0	0/1
NA19204	II	1/1	0/1
NA19205	NI	0/1	0/1
NA19206	II	1/1	0/1
NA19207	NN	0/0	0/0
NA19208	NI	0/1	0/1
NA19209	NI	0/1	0/1
NA19210	NN	0/0	0/0
NA19211	NI	0/1	0/1
NA19213	NN	0/0	0/0
NA19221	NI	0/1	0/1
NA19222	NN	0/0	0/0
NA19223	NI	0/1	0/1
NA19238	II	1/1	0/1
NA19239	II	1/1	0/1
NA19240	II	1/1	1/1
NA19307	NI	0/1	0/1
NA19308	II	1/1	1/1
NA19309	NN	0/0	0/0
NA19310	NN	0/0	0/0
NA19314	NI	0/1	0/1
NA19315	NI	0/1	0/1
NA19316	NN	0/0	0/0
NA19317	II	1/1	0/1
NA19319	NN	0/0	0/0
NA19321	NI	0/1	0/1
NA19324	NI	0/1	0/1
NA19327	II	1/1	0/1
NA19328	NN	0/0	0/0
NA19332	NN	0/0	0/0
NA19334	NN	0/0	0/1
NA19346	NN	0/0	0/0
NA19347	NN	0/0	0/0
NA19350	NI	0/1	0/1
NA19360	NI	0/1	0/1
NA19372	NN	0/0	0/0
NA19374	NN	0/0	0/0
NA19375	II	1/1	1/1
NA19376	NI	0/1	0/1
NA19377	NI	0/1	0/1
NA19379	II	1/1	0/0
NA19380	NI	0/1	0/1
NA19384	NI	0/1	0/1
NA19385	II	1/1	0/1
NA19390	NN	0/0	0/0
NA19391	NI	0/1	0/1
NA19393	NN	0/0	0/0
NA19394	NN	0/0	0/0
NA19397	NN	0/0	0/0
NA19399	II	1/1	0/1
NA19403	NN	0/0	0/0
NA19404	NN	0/0	0/0
NA19428	II	1/1	0/1
NA19429	NN	0/0	0/0
NA19430	II	1/1	0/1
NA19431	NI	0/1	0/1
NA19434	NN	0/0	0/1
NA19435	NN	0/0	0/0
NA19436	NI	0/1	0/1
NA19437	II	1/1	1/1
NA19438	II	1/1	0/0
NA19439	NN	0/0	0/0
NA19440	NN	0/0	0/0
NA19443	NN	0/0	0/0
NA19445	NN	0/0	0/0
NA19446	NI	0/1	0/1
NA19448	NN	0/0	0/0
NA19449	NN	0/0	0/0
NA19451	NI	0/1	0/1
NA19452	NN	0/0	0/0
NA19455	NN	0/0	0/0
NA19456	NN	0/0	0/0
NA19457	NI	0/1	0/1
NA19462	II	1/1	0/0
NA19463	NI	0/1	0/1
NA19466	NN	0/0	0/0
NA19467	NN	0/0	0/0
NA19468	NN	0/0	0/0
NA19471	NN	0/0	0/1
NA19472	II	1/1	0/1
NA19473	NN	0/0	0/0
NA19474	NN	0/0	0/0
NA06985	NN	0/0	0/0
NA06991	NN	0/0	0/0
NA06993	NN	0/0	0/0
NA06994	NN	0/0	0/0
NA07000	NN	0/0	0/0
NA07019	NN	0/0	0/0
NA07022	NN	0/0	0/0
NA07029	NN	0/0	0/0
NA07034	NN	0/0	0/0
NA07048	NN	0/0	0/0
NA07055	NN	0/0	0/0
NA07056	NN	0/0	0/0
NA07345	NN	0/0	0/0
NA07348	NN	0/0	0/0
NA07357	NN	0/0	0/0
NA10830	NN	0/0	0/0
NA10831	NN	0/0	0/0
NA10835	NI	0/1	0/1
NA10838	NI	0/1	0/1
NA10839	NN	0/0	0/0
NA10846	NN	0/0	0/0
NA10847	NN	0/0	0/0
NA10851	II	1/1	1/1
NA10854	NN	0/0	0/0
NA10855	NN	0/0	0/1
NA10856	NN	0/0	0/0
NA10857	NN	0/0	0/1
NA10859	NN	0/0	0/0
NA10860	NN	0/0	0/0
NA10861	NN	0/0	0/0
NA10863	NN	0/0	0/0
NA11829	NI	0/1	0/1
NA11830	NN	0/0	0/0
NA11831	NN	0/0	0/0
NA11832	NN	0/0	0/1
NA11839	NN	0/0	0/0
NA11840	NN	0/0	0/0
NA11881	NN	0/0	0/0
NA11882	NN	0/0	0/0
NA11992	NN	0/0	0/0
NA11993	NN	0/0	0/0
NA11994	NN	0/0	0/0
NA11995	NN	0/0	0/0
NA12003	NI	0/1	0/1
NA12004	NI	0/1	0/1
NA12005	NN	0/0	0/0
NA12006	NI	0/1	0/1
NA12043	NN	0/0	0/1
NA12044	NN	0/0	0/0
NA12056	NI	0/1	0/1
NA12057	NI	0/1	0/1
NA12144	NN	0/0	0/0
NA12145	NN	0/0	0/0
NA12146	NN	0/0	0/0
NA12154	NN	0/0	0/0
NA12155	NN	0/0	0/0
NA12156	NI	0/1	0/1
NA12234	NN	0/0	0/0
NA12236	NN	0/0	0/0
NA12239	NN	0/0	0/0
