Samples	Result	ImpGenos	Experimental
NA18526	NN	0/0	0/0
NA18532	NN	0/0	0/0
NA18537	NI	0/1	0/1
NA18547	NI	0/1	0/1
NA18550	NN	0/0	0/0
NA18555	NN	0/0	0/0
NA18561	NN	0/0	0/0
NA18562	NN	0/0	0/0
NA18563	NN	0/0	0/0
NA18566	NN	0/0	0/0
NA18572	NI	0/1	0/1
NA18577	NN	0/0	0/0
NA18582	NN	0/0	0/0
NA18603	NN	0/0	0/0
NA18605	NN	0/0	0/0
NA18606	NN	0/0	0/0
NA18621	NN	0/0	0/0
NA18622	NN	0/0	0/0
NA18628	NN	0/0	0/0
NA18632	NN	0/0	0/0
NA18636	NN	0/0	0/0
NA18647	NN	0/0	0/0
NA18942	NN	0/0	0/0
NA18943	NN	0/0	0/0
NA18945	NN	0/0	0/0
NA18947	NN	0/0	0/0
NA18949	NN	0/0	0/0
NA18951	NN	0/0	0/0
NA18952	NN	0/0	0/0
NA18953	NN	0/0	0/0
NA18956	NN	0/0	0/0
NA18964	NN	0/0	0/0
NA18965	NN	0/0	0/0
NA18970	NN	0/0	0/0
NA18973	NN	0/0	0/0
NA18974	NN	0/0	0/0
NA18980	NN	0/0	0/0
NA18987	NN	0/0	0/0
NA18990	NN	0/0	0/0
NA18994	NN	0/0	0/0
NA18995	NN	0/0	0/0
NA19000	NN	0/0	0/0
NA19003	NN	0/0	0/0
NA19010	NN	0/0	0/0
