Samples	Result	ImpGenos	Experimental
NA06985	NN	0/0	0/0
NA06994	NI	0/1	0/1
NA07048	NI	0/1	0/1
NA07056	NN	0/0	0/0
NA07357	NN	0/0	0/1
NA10847	NI	0/1	0/1
NA10851	NN	0/0	0/0
NA11829	NI	0/1	0/1
NA11830	NN	0/0	0/0
NA11831	NN	0/0	0/0
NA11832	NN	0/0	0/0
NA11840	NI	0/1	0/1
NA11881	NI	0/1	0/1
NA11992	NN	0/0	0/0
NA11994	NN	0/0	0/0
NA11995	NN	0/0	0/0
NA12004	NI	0/1	0/1
NA12005	NI	0/1	0/1
NA12006	NN	0/0	0/0
NA12043	NI	0/1	0/1
NA12044	NN	0/0	0/0
NA12144	NI	0/1	0/1
NA12154	NN	0/0	0/0
NA12155	NI	0/1	0/1
NA12156	NI	0/1	0/1
NA12234	NN	0/0	0/0
NA12249	NI	0/1	0/1
NA12716	NN	0/0	0/0
NA12717	NI	0/1	0/1
NA12750	NI	0/1	0/1
NA12751	NI	0/1	0/1
NA12760	NN	0/0	0/0
NA12761	NN	0/0	0/0
NA12762	NN	0/0	0/0
NA12763	NI	0/1	0/1
NA12812	NN	0/0	0/0
NA12813	NI	0/1	0/1
NA12814	NI	0/1	0/1
NA12815	NI	0/1	0/1
NA12872	NN	0/0	0/0
NA12873	NI	0/1	0/1
NA12874	NN	0/0	0/0
NA12878	NN	0/0	0/0
NA20502	NN	0/0	0/0
NA20504	NI	0/1	0/1
NA20505	NI	0/1	0/1
NA20506	NN	0/0	0/0
NA20508	NI	0/1	0/1
NA20509	II	1/1	1/1
NA20510	NI	0/1	0/1
NA20512	NN	0/0	0/0
NA20515	NI	0/1	0/1
NA20516	NI	0/1	0/1
NA20517	NI	0/1	0/1
NA20518	NI	0/1	0/1
NA20519	NI	0/1	0/1
NA20520	NI	0/1	0/1
NA20521	NN	0/0	0/0
NA20522	NN	0/0	0/0
NA20524	NI	0/1	0/1
NA20525	NN	0/0	0/0
NA20527	NI	0/1	0/1
NA20528	II	1/1	1/1
NA20529	NI	0/1	0/1
NA20530	NI	0/1	0/1
NA20531	NI	0/1	0/1
NA20534	II	1/1	1/1
NA20535	NI	0/1	0/1
NA20538	NN	0/0	0/0
NA20539	NN	0/0	0/0
NA20540	NI	0/1	0/1
NA20541	NN	0/0	0/0
NA20542	II	1/1	1/1
NA20543	NN	0/0	0/0
NA20544	NI	0/1	0/1
NA20581	NN	0/0	0/0
NA20582	NI	0/1	0/1
NA20585	NI	0/1	0/1
NA20586	II	1/1	1/1
NA20588	NI	0/1	0/1
NA20589	NN	0/0	0/0
NA20752	NN	0/0	0/0
NA20753	NN	0/0	0/0
NA20754	NI	0/1	0/1
NA20755	NN	0/0	0/0
NA20756	NN	0/0	0/0
NA20757	NN	0/0	0/0
NA20758	NI	0/1	0/1
NA20760	NI	0/1	0/1
NA20761	NN	0/0	0/0
NA20765	NN	0/0	0/0
NA20766	NI	0/1	0/1
NA20768	NN	0/0	0/0
NA20769	NN	0/0	0/0
NA20770	NI	0/1	0/1
NA20771	NN	0/0	0/0
NA20772	NI	0/1	0/1
NA20773	II	1/1	1/1
NA20774	NI	0/1	0/1
NA20775	II	1/1	1/1
NA20778	II	1/1	1/1
NA20783	NN	0/0	0/0
NA20785	NN	0/0	0/0
NA20786	NI	0/1	0/1
NA20787	NN	0/0	0/0
NA20790	NI	0/1	0/1
NA20792	NN	0/0	0/0
NA20795	NN	0/0	0/0
NA20796	NI	0/1	0/1
NA20797	NI	0/1	0/1
NA20798	NI	0/1	0/1
NA20799	II	1/1	1/1
NA20800	II	1/1	1/1
NA20801	NI	0/1	0/1
NA20802	NI	0/1	0/1
NA20803	NI	0/1	0/1
NA20804	NI	0/1	0/1
NA20805	NN	0/0	0/0
NA20806	NN	0/0	0/0
NA20807	NN	0/0	0/0
NA20808	NN	0/0	0/0
NA20809	NI	0/1	0/1
NA20810	NN	0/0	0/1
NA20811	NI	0/1	0/1
NA20812	NI	0/1	0/1
NA20813	NN	0/0	0/0
NA20815	NI	0/1	0/1
NA20818	NN	0/0	0/0
NA20819	NN	0/0	0/0
NA20826	II	1/1	1/1
NA20828	II	1/1	1/1
