Samples	Result	ImpGenos	Experimental
NA18498	NI	0/1	1/1
NA18500	II	1/1	0/1
NA18501	II	1/1	0/1
NA18502	NI	0/1	1/1
NA18503	NI	0/1	1/1
NA18504	NI	0/1	1/1
NA18505	NI	0/1	1/1
NA18506	NI	0/1	1/1
NA18507	NI	0/1	1/1
NA18508	NI	0/1	1/1
NA18515	NI	0/1	1/1
NA18516	II	1/1	1/1
NA18517	NI	0/1	1/1
NA18519	NI	0/1	1/1
NA18521	NI	0/1	1/1
NA18522	II	1/1	1/1
NA18523	NI	0/1	1/1
NA18852	NI	0/1	1/1
NA18853	NI	0/1	1/1
NA18854	NI	0/1	1/1
NA18855	NI	0/1	1/1
NA18856	NI	0/1	1/1
NA18857	II	1/1	1/1
NA18858	II	1/1	1/1
NA18859	NI	0/1	1/1
NA18860	NI	0/1	1/1
NA18861	NI	0/1	1/1
NA18862	NI	0/1	1/1
NA18863	II	1/1	1/1
NA18867	NI	0/1	1/1
NA18870	NI	0/1	1/1
NA18871	II	1/1	1/1
NA18872	NI	0/1	1/1
NA18910	NI	0/1	1/1
NA18912	NI	0/1	1/1
NA18913	II	1/1	1/1
NA18914	II	1/1	1/1
NA19027	NI	0/1	1/1
NA19028	NI	0/1	1/1
NA19031	NI	0/1	1/1
NA19035	NI	0/1	1/1
NA19036	NI	0/1	1/1
NA19038	NI	0/1	1/1
NA19041	NI	0/1	1/1
NA19092	NI	0/1	1/1
NA19093	NI	0/1	1/1
NA19094	NI	0/1	1/1
NA19098	NI	0/1	1/1
NA19099	NI	0/1	1/1
NA19100	NI	0/1	1/1
NA19101	II	1/1	1/1
NA19102	NI	0/1	1/1
NA19103	NI	0/1	1/1
NA19108	II	1/1	1/1
NA19116	NI	0/1	0/1
NA19118	NI	0/1	1/1
NA19119	NI	0/1	1/1
NA19120	NI	0/1	1/1
NA19127	NI	0/1	1/1
NA19128	NI	0/1	1/1
NA19129	NI	0/1	1/1
NA19130	NI	0/1	1/1
NA19131	NI	0/1	1/1
NA19132	NI	0/1	1/1
NA19137	NI	0/1	1/1
NA19138	NI	0/1	1/1
NA19139	NI	0/1	1/1
NA19140	NI	0/1	1/1
NA19141	NI	0/1	1/1
NA19142	NI	0/1	1/1
NA19143	NI	0/1	1/1
NA19144	NI	0/1	1/1
NA19145	NI	0/1	1/1
NA19146	NI	0/1	1/1
NA19150	NI	0/1	1/1
NA19152	NI	0/1	1/1
NA19153	NI	0/1	1/1
NA19154	NI	0/1	1/1
NA19159	NI	0/1	1/1
NA19160	NI	0/1	1/1
NA19161	NI	0/1	1/1
NA19171	II	1/1	1/1
NA19172	NI	0/1	1/1
NA19173	NI	0/1	1/1
NA19189	NI	0/1	1/1
NA19200	NI	0/1	1/1
NA19201	NI	0/1	1/1
NA19202	NI	0/1	1/1
NA19203	NI	0/1	1/1
NA19204	NI	0/1	1/1
NA19205	NI	0/1	1/1
NA19206	NI	0/1	1/1
NA19207	NI	0/1	1/1
NA19208	NI	0/1	1/1
NA19209	NI	0/1	1/1
NA19210	II	1/1	1/1
NA19211	NI	0/1	1/1
NA19213	NI	0/1	1/1
NA19221	NI	0/1	1/1
NA19222	NI	0/1	1/1
NA19223	II	1/1	1/1
NA19238	NI	0/1	1/1
NA19239	NI	0/1	1/1
NA19240	NI	0/1	1/1
NA19307	NI	0/1	1/1
NA19308	NI	0/1	1/1
NA19309	NI	0/1	1/1
NA19310	NI	0/1	1/1
NA19314	NI	0/1	1/1
NA19315	NI	0/1	1/1
NA19316	NI	0/1	1/1
NA19317	II	1/1	1/1
NA19318	NI	0/1	1/1
NA19319	NI	0/1	1/1
NA19321	NI	0/1	1/1
NA19324	NI	0/1	1/1
NA19327	NI	0/1	1/1
NA19328	NI	0/1	1/1
NA19332	NI	0/1	1/1
NA19334	NI	0/1	1/1
NA19346	II	1/1	1/1
NA19347	NI	0/1	1/1
NA19350	NI	0/1	1/1
NA19360	II	1/1	1/1
NA19372	II	1/1	1/1
NA19374	NI	0/1	1/1
NA19375	NI	0/1	1/1
NA19376	II	1/1	1/1
NA19377	NI	0/1	1/1
NA19379	NI	0/1	1/1
NA19380	NI	0/1	1/1
NA19383	NI	0/1	1/1
NA19384	NI	0/1	1/1
NA19385	NI	0/1	1/1
NA19390	NI	0/1	1/1
NA19391	II	1/1	1/1
NA19393	II	1/1	1/1
NA19394	NI	0/1	1/1
NA19397	NI	0/1	1/1
NA19399	II	1/1	1/1
NA19403	II	1/1	0/1
NA19404	NI	0/1	1/1
NA19428	NI	0/1	1/1
NA19429	NI	0/1	1/1
NA19430	NI	0/1	1/1
NA19431	NI	0/1	1/1
NA19434	NI	0/1	1/1
NA19435	NI	0/1	1/1
NA19436	NI	0/1	1/1
NA19437	NI	0/1	1/1
NA19438	II	1/1	1/1
NA19439	NI	0/1	1/1
NA19440	NI	0/1	1/1
NA19443	II	1/1	1/1
NA19445	NI	0/1	1/1
NA19446	NI	0/1	1/1
NA19448	II	1/1	1/1
NA19449	NI	0/1	1/1
NA19451	II	1/1	0/1
NA19452	NI	0/1	1/1
NA19455	NI	0/1	1/1
NA19456	NI	0/1	1/1
NA19457	II	1/1	1/1
NA19462	II	1/1	1/1
NA19463	NI	0/1	1/1
NA19466	NI	0/1	1/1
NA19467	NI	0/1	1/1
NA19468	NI	0/1	1/1
NA19471	NI	0/1	1/1
NA19472	NI	0/1	1/1
NA19473	NI	0/1	1/1
NA19474	NI	0/1	1/1
