INV	AFR.Num.Samples	EAS.Num.Samples	EUR.Num.Samples
HsInv0015	32	31	31
HsInv0113	32	31	36
HsInv0163	97	29	32
HsInv0193	50	45	131
HsInv0239	50	45	131
HsInv0286	46	44	151
HsInv0325	48	44	135
HsInv0348	43	42	108
HsInv0371	49	44	135
HsInv0410	50	89	177
HsInv0414	50	44	134
HsInv0486	50	44	130
HsInv0626	167	87	176
HsInv1110	97	45	134
HsInv1117	168	90	174
HsInv1838	32	31	31
HsInv0901	32	31	30
HsInv1427	32	31	31
HsInv0228	32	31	30
HsInv0290	32	31	31
HsInv0370	30	31	31
HsInv0382	27	29	30
HsInv0390	32	31	31
HsInv0395	32	31	31
HsInv0605	32	31	31
HsInv0608	32	31	31
HsInv0786	30	31	31
HsInv0822	31	31	31
HsInv0830	32	31	30
HsInv1111	32	31	31
HsInv1126	32	29	30
HsInv0030	172	85	179
HsInv0055	172	85	178
HsInv0061	170	85	177
HsInv0072	170	85	178
HsInv0102	172	85	179
HsInv0105	172	85	179
HsInv0114	171	85	178
HsInv0124	170	85	178
HsInv0209	170	85	178
HsInv0241	170	89	171
HsInv0266	170	84	178
HsInv0278	170	85	176
HsInv0340	166	84	177
HsInv0341	169	83	177
HsInv0344	167	85	175
HsInv0347	170	85	178
HsInv0374	170	85	178
HsInv0389	170	90	178
HsInv0393	170	85	178
HsInv0396	169	83	176
HsInv0397	170	85	178
HsInv0403	170	85	177
HsInv1124	169	84	179
HsInv0030Del	162	85	179
